0.6697,-0.4811,0.328
0.5099,-0.1513,0.345
0.4155,-0.1483,0.6638
0.1459,-1,0.645
-0.2257,-0.7528,0.6412
0.5978,-0.1375,0.7837
-0.1977,-0.7743,0.7657
0.6182,-0.3899,0.2368
0.654,-0.7634,0.6761
0.4924,-0.5896,0.5331
0.483,-0.363,0.3468
0.0623,-0.6001,0.3054
0.2055,-0.0908,0.432
-0.0879,-0.1413,0.4291
-0.1949,-0.1358,0.6451
-0.1438,-0.0995,0.567
-0.0975,-0.1203,0.6107
-0.0363,-0.2115,0.6073
-0.1137,-0.41,0.1466
-0.1063,-0.3661,0.5337
0.3194,-0.585,0.2398
0.0333,-0.4921,0.3702
-0.0101,-0.5453,0.2702
0.0465,-0.5613,0.1041
-0.2298,-0.4105,0.637
-0.1385,-0.4484,0.4634
-0.1443,-0.5015,0.5585
-0.2155,-0.5793,0.5738
-0.1354,-0.5888,0.4288
-0.0364,-0.5608,0.1847
-0.0069,-0.5956,0.5849
0.0672,-0.6475,0.4017
0.1105,-0.6319,0.6744
0.2166,-0.5095,0.4485
0.0652,-0.7049,0.5221
0.081,-0.7574,0.4497
0.0346,-0.7847,0.3178
-0.0198,-0.794,0.576
-0.0031,-0.7999,0.2009
0.0528,-0.7518,0.6076
0.3444,-0.5074,0.1794
0.3057,-0.4294,0.6904
0.4165,-0.4956,0.5294
0.3631,-0.4666,0.6683
0.5306,-0.8651,0.4629
0.4561,-0.7298,0.3628
0.6067,-0.8206,0.5697
0.4693,-0.8226,0.588
-0.1519,-0.7139,0.2976
-0.0861,-0.9392,0.3684
0.6473,-0.8276,0.2254
0.5827,-0.6246,0.3687
0.3315,-0.5267,0.2654
0.5931,-0.7886,0.5724
0.5634,-0.5693,0.37
0.4214,-0.8508,0.3706
0.4586,-0.5084,0.0814
0.4245,-0.497,0.1355
0.4741,-0.4277,0.013
0.4513,-0.363,0.2225
0.5146,-0.4741,0.3112
0.2716,-0.3581,0.3766
